composition,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum Row,MagpieData range Row,MagpieData minimum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,gap expt
Ag0.5Ge1Pb1.75S4,2.58,0.6500000000000001,2.3962068965517243,2.58,6.0,3.0,11.0,14.89655172413793,1.2175980975029725,16.0,146.0,41.0,119.72413793103448,16.24732461355529,1.0,2.0,1.9310344827586208,2.0,4.0,2.9655172413793105,1.1414982164090366,6.0,28.0,22.0,12.758620689655173,7.700356718192628,4.0,4.0,2.6206896551724137,1.0463733650416172,4.0,2.689655172413793,0.9940546967895363,1.83
Ag0.5Ge1Pb1.75Se4,2.55,0.6199999999999999,2.3796551724137927,2.55,6.0,2.0,11.0,14.89655172413793,1.2175980975029725,16.0,146.0,26.0,128.0,11.03448275862069,1.0,2.0,1.9310344827586208,2.0,4.0,2.9655172413793105,1.1414982164090366,11.0,28.0,17.0,18.275862068965516,4.694411414982163,4.0,4.0,2.6206896551724137,1.0463733650416172,4.0,2.689655172413793,0.9940546967895363,1.51
Ag2GeS3,2.58,0.6500000000000001,2.268333333333333,2.58,5.0,2.0,11.0,14.0,2.0,16.0,145.0,40.0,120.83333333333333,16.11111111111111,1.0,2.0,1.6666666666666667,2.0,4.0,2.3333333333333335,1.6666666666666667,6.0,14.0,8.0,9.0,3.0,4.0,4.0,1.6666666666666667,1.111111111111111,4.0,2.0,0.6666666666666666,1.98
Ag2GeSe3,2.55,0.6199999999999999,2.2533333333333334,2.55,5.0,1.0,11.0,14.0,2.0,16.0,145.0,25.0,128.33333333333334,11.111111111111114,1.0,2.0,1.6666666666666667,2.0,4.0,2.3333333333333335,1.6666666666666667,11.0,16.0,5.0,14.0,2.0,4.0,4.0,1.6666666666666667,1.111111111111111,4.0,2.0,0.6666666666666666,0.9
Ag2HgI4,2.66,0.7300000000000002,2.357142857142857,2.66,6.0,1.0,11.0,14.571428571428571,2.775510204081633,17.0,145.0,13.0,139.71428571428572,3.0204081632653095,1.0,2.0,1.7142857142857142,2.0,5.0,2.857142857142857,2.4489795918367347,11.0,26.0,15.0,16.571428571428573,3.1836734693877546,1.0,1.0,0.5714285714285714,0.489795918367347,1.0,0.8571428571428571,0.2448979591836735,2.47
Ag2Mo(I2O7)2,3.44,1.51,3.0866666666666664,3.44,5.0,3.0,6.0,15.238095238095237,1.6870748299319736,16.0,154.0,88.0,91.61904761904762,34.15873015873016,1.0,2.0,1.8571428571428572,2.0,5.0,3.619047619047619,1.0340136054421767,6.0,17.0,11.0,8.571428571428571,3.6734693877551017,2.0,2.0,1.5238095238095237,0.634920634920635,6.0,1.9047619047619047,0.5170068027210885,3.06
Ag2PdO2,3.44,1.51,2.588,1.93,5.0,3.0,10.0,12.8,2.56,11.0,145.0,79.0,112.2,36.96,0.0,2.0,1.2,1.0,4.0,1.6,1.9200000000000004,6.0,11.0,5.0,8.8,2.2399999999999998,2.0,2.0,0.8,0.9600000000000002,2.0,1.2,0.64,0.18
Ag5IO6,3.44,1.51,2.7458333333333336,3.44,5.0,3.0,11.0,14.0,2.5,16.0,145.0,79.0,105.0,39.0,1.0,2.0,1.5833333333333333,2.0,5.0,2.4166666666666665,2.013888888888889,6.0,17.0,11.0,9.0,3.0,2.0,2.0,1.0833333333333333,0.9166666666666666,2.0,1.5,0.5,1.4
Ag7AsS6,2.58,0.6500000000000001,2.2264285714285714,1.93,5.0,2.0,11.0,13.428571428571429,2.4285714285714284,11.0,145.0,40.0,126.0,19.0,1.0,2.0,1.5,1.0,4.0,1.9285714285714286,1.9285714285714286,6.0,15.0,9.0,9.142857142857142,2.693877551020408,3.0,3.0,1.0714285714285714,1.0714285714285714,3.0,1.5714285714285714,0.5714285714285714,1.0
Ag7AsSe6,2.55,0.6199999999999999,2.2135714285714285,1.93,5.0,1.0,11.0,13.428571428571429,2.4285714285714284,11.0,145.0,26.0,132.42857142857142,12.571428571428571,1.0,2.0,1.5,1.0,4.0,1.9285714285714286,1.9285714285714286,11.0,16.0,5.0,13.428571428571429,2.4285714285714284,3.0,3.0,1.0714285714285714,1.0714285714285714,3.0,1.5714285714285714,0.5714285714285714,1.0
