composition,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum Row,MagpieData range Row,MagpieData minimum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,gap expt
Ni2Te3O8,3.44,1.53,2.8953846153846152,3.44,5.0,3.0,10.0,15.076923076923077,1.562130177514793,16.0,138.0,72.0,91.53846153846153,31.431952662721894,2.0,2.0,2.0,2.0,4.0,3.3846153846153846,1.0414201183431953,6.0,16.0,10.0,8.923076923076923,3.5976331360946747,2.0,2.0,1.6923076923076923,0.5207100591715976,2.0,2.0,0.0,3.84
Ti1C0.9,2.55,1.0099999999999998,2.018421052631579,1.54,4.0,2.0,4.0,8.73684210526316,4.986149584487534,4.0,160.0,84.0,120.21052631578948,41.88365650969529,2.0,2.0,2.0,2.0,2.0,0.9473684210526316,0.9972299168975071,4.0,4.0,0.0,4.0,0.0,4.0,4.0,1.8947368421052633,1.9944598337950141,8.0,6.105263157894737,1.9944598337950141,0.3
Ge0.01Te0.01Pb0.99Se0.99,2.55,0.54,2.43615,2.33,6.0,2.0,14.0,15.0,1.0,14.0,146.0,26.0,132.96,12.96,2.0,2.0,2.0,2.0,2.0,3.0,1.0,14.0,28.0,14.0,21.93,6.0093,4.0,2.0,3.0,1.0,4.0,3.0,1.0,0.23
Bi2Te0.4Se2.6,2.55,0.5299999999999998,2.302,2.55,6.0,2.0,15.0,15.6,0.4800000000000001,16.0,148.0,28.0,132.64000000000001,13.145600000000002,2.0,2.0,2.0,2.0,1.0,3.6,0.48,16.0,29.0,13.0,21.2,6.239999999999999,3.0,1.0,2.4,0.48,3.0,2.4,0.48,0.7
SmCuSO,3.44,2.27,2.2725,1.17,6.0,4.0,3.0,11.5,4.5,3.0,198.0,132.0,125.25,39.75,1.0,2.0,1.75,1.0,4.0,2.0,2.0,6.0,11.0,5.0,7.75,1.75,2.0,2.0,1.0,1.0,8.0,3.25,2.375,2.9
Ba2Cd(BO2)6,3.44,2.55,2.713809523809524,3.44,6.0,4.0,2.0,13.619047619047619,2.7210884353741496,16.0,215.0,149.0,89.04761904761905,29.22448979591837,2.0,2.0,2.0,2.0,4.0,2.5714285714285716,1.6326530612244898,2.0,12.0,10.0,5.0476190476190474,1.7505668934240362,5.0,5.0,2.5714285714285716,1.3877551020408165,5.0,2.5714285714285716,1.3877551020408165,4.59
RbMoPO6,3.44,2.62,2.867777777777778,3.44,5.0,3.0,1.0,13.11111111111111,4.271604938271604,16.0,220.0,154.0,97.44444444444444,41.92592592592593,1.0,2.0,1.7777777777777777,2.0,4.0,3.0,1.3333333333333333,1.0,6.0,5.0,5.333333333333333,1.0370370370370372,3.0,3.0,1.6666666666666667,0.7407407407407407,6.0,2.4444444444444446,0.9135802469135803,2.96
RbPSe6,2.55,1.73,2.28875,2.55,5.0,2.0,1.0,14.0,3.25,16.0,220.0,113.0,130.875,22.28125,1.0,2.0,1.875,2.0,4.0,3.375,0.9375,1.0,16.0,15.0,12.75,4.875,3.0,3.0,1.875,0.46875,3.0,2.0,0.25,2.18
TeO2,3.44,1.3399999999999999,2.9933333333333336,3.44,5.0,3.0,16.0,16.0,0.0,16.0,138.0,72.0,90.0,32.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,6.0,16.0,10.0,9.333333333333334,4.444444444444445,2.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0
Eu(InTe2)2,2.1,0.915,1.877857142857143,2.1,6.0,1.0,3.0,13.285714285714286,3.102040816326531,16.0,198.0,60.0,147.71428571428572,14.367346938775515,2.0,2.0,2.0,2.0,4.0,2.5714285714285716,1.6326530612244898,9.0,16.0,7.0,14.142857142857142,2.122448979591837,5.0,5.0,2.5714285714285716,1.3877551020408165,7.0,3.5714285714285716,1.7959183673469388,1.22
