"Eg_PBE","1/r","OS","EN","Delta_En","Eg_G0W0"
3.85,0.244316995500646,1,1.74,1.84,6.6
3.95,0.25339050174228,1,1.74,1.84,6.72
3.75,0.25433998302315,1,1.74,1.84,6.16
3.73,0.258471082115012,1,1.74,1.84,6.21
1.88,0.266072504481496,1.333333333,1.246666667,1.28,3.65
3.93,0.273999741476669,1,1.74,1.84,6.44
4.54,0.274366051180793,1,1.99,2.34,7.89
2.05,0.281634032734068,2,1.525,1.15,3.57
1.79,0.281875678379283,1.333333333,1.396666667,1.73,3.69
3.98,0.283926268151563,1,1.74,1.84,6.51
3.86,0.284421390584116,1,1.795,1.73,6.58
4.63,0.284742106072629,1,1.99,2.34,7.67
3.05,0.285124400808246,2,1.55,1.1,4.73
4.78,0.285581585751116,1,1.99,2.34,8.27
3.57,0.289079908167636,1,1.74,1.84,5.92
2.78,0.291154141480781,2,1.75,1.6,4.57
1.96,0.292067293689405,1.333333333,1.406666667,1.76,3.94
3.61,0.292766721147718,1,1.795,1.73,6.03
1.87,0.295840012501706,2,1.55,1.1,3.75
4.77,0.29625559050883,1,1.99,2.34,7.93
3.4,0.296684811578043,1,1.74,1.84,5.72
0.84,0.299255976176734,2.285714286,1.95,0.32,1.87
0.84,0.299255976176734,2.285714286,1.95,0.32,1.87
2.04,0.30042215301826,1.6,1.498,0.45,3.59
2.4,0.301261620531623,2,1.75,1.6,3.86
1.64,0.302304034085323,2,1.525,1.15,3.02
3.11,0.303256062472809,2,1.765,1.63,4.95
1.26,0.303427612842302,2,1.333333333,1.18,2.31
0.41,0.305172033352964,2.4,1.462,0.71,1.34
2.28,0.305187468858198,1.333333333,1.406666667,1.76,4.41
5.05,0.305526473759984,1,1.99,2.34,8.25
3.28,0.307231690826973,2,1.775,1.55,5.04
0.79,0.307718748748259,2,1.895,0.41,1.92
0.75,0.307774440866965,2,1.895,0.41,1.84
1.39,0.308323691159887,2,1.74,0.32,2.73
1.61,0.309305745337255,2.285714286,1.901428571,0.41,2.86
1.04,0.30939132338781,2.285714286,1.958571429,0.29,2.16
0.34,0.310021115459673,2.666666667,1.266666667,0.95,0.92
2.5,0.310464344217384,2,1.705,0.79,4.19
2.46,0.310493809246451,2,1.705,0.79,4.16
2.05,0.313168698812493,1.333333333,1.32,1.17,3.97
2.8,0.313221839947671,2,1.765,1.63,4.4
3.75,0.313295224552636,1,1.795,1.73,6.24
0.36,0.313403036611333,2,1.525,1.15,1.44
1.2,0.313879484941295,1.333333333,2.488888889,0.83,3.81
4.49,0.315176239023938,1,1.82,1.68,6.8
4.48,0.315346195521985,1,1.82,1.68,6.89
1.02,0.316044694262979,2.285714286,1.952857143,0.29,2.05
2.35,0.316841770462092,1,1.795,1.73,4.58
2.49,0.317052924606424,1.333333333,2.506666667,1.2,5.89
1.43,0.317445933624873,2,1.55,1.1,3.01
5.18,0.317896487604463,1,1.99,2.34,8.48
0.45,0.317999287869264,2.666666667,1.32,1.01,0.92
2.39,0.318103198029276,2,1.775,1.55,4.09
1.6,0.318933131681032,2,1.7475,0.29,2.98
2.44,0.319264849071953,2,1.6975,0.49,3.55
3.74,0.320806300690845,2,1.79,1.58,5.64
0.94,0.320806631439495,2.285714286,2.207142857,0.77,2.07
0.39,0.322149465325289,1.5,1.21,1.12,1.32
2.13,0.322283180887567,2,1.75,1.6,3.84
5.13,0.323943223181572,1,1.99,2.34,8.24
1.24,0.324193142099444,3,1.83,0.44,1.94
0.99,0.324264152712633,3,1.83,0.44,1.79
5.35,0.32480460268212,1.333333333,2.44,2.16,8.43
5.39,0.325603407840725,1.333333333,2.44,2.16,8.5
4.83,0.325661364914372,1,2.4,3.16,8.74
1.98,0.325815603100283,1.333333333,1.433333333,1.62,3.76
0.13,0.325951905475629,2,1.55,1.1,0.75
4.98,0.326227960048795,1,2.045,2.23,8.61
0.05,0.326300678162482,3,1.93,0.24,0.92
0.06,0.326439777627143,3,1.93,0.24,0.79
0.98,0.327836787373166,2.285714286,2.201428571,0.77,2.19
2.27,0.327856253735228,1,1.82,1.68,4.05
0.65,0.328083878899744,2,2.12,0.86,1.81
0.59,0.32812563067782,2,2.12,0.86,1.75
4.01,0.328526243613225,1.333333333,2.656666667,1.51,7.29
1.32,0.329320755331261,2,1.875,0.45,2.77
1.36,0.329330910568856,2,1.875,0.45,2.85
0.65,0.330155858524989,2,1.326666667,1.07,1.33
0.79,0.330651117698861,2,1.353333333,1.23,1.43
2.7,0.331796797707036,2,1.79,1.58,4.74
2.29,0.332351923524213,1.333333333,1.45,1.57,4.13
1.58,0.332364531900792,2,1.965,0.77,3.09
1.31,0.332903471199715,1.333333333,1.693333333,2.62,3.14
1.34,0.332911982815759,2.285714286,2.215714286,0.74,2.63
4.96,0.334295776667544,1,2.4,3.16,8.49
2.41,0.334563080154384,2,1.765,1.63,4.33
5.05,0.334765672808629,1,1.99,2.34,8.22
1.79,0.334827628950192,1.714285714,2.095714286,1.19,4.15
1.29,0.335025275298089,2,1.75,1.6,2.74
2.04,0.335685417476115,1.333333333,1.47,1.62,4.22
4.88,0.336410999795791,1,2.045,2.23,8.2
1.04,0.336629908416777,2.4,2.254,0.74,2.42
2.66,0.336865346275981,2,1.93,1.24,4.66
2.66,0.336891273247547,2,1.93,1.24,4.58
0.57,0.337211090005848,3,1.985,0.41,1.34
0.64,0.337262353957655,3,1.985,0.41,1.47
5.07,0.337649815954644,1,2.4,3.16,9.39
4.37,0.338442207591934,1,1.82,1.68,6.47
0.44,0.338519120145695,2,1.705,0.79,1.57
1.23,0.338830399259713,2,1.356666667,1.24,2.3
2.49,0.339411977024095,1.333333333,1.443333333,1.65,4.5
1.97,0.340350879496834,2,1.775,1.55,3.94
1.4,0.341602937371919,2.285714286,2.21,0.74,2.8
0.81,0.34177602039548,2,1.553333333,0.54,1.82
0.19,0.342395879217241,2.4,1.748,0.49,1.02
2.13,0.342422804479904,2.285714286,2.152857143,0.9,3.77
1.22,0.342604943428039,2,2.135,0.89,2.57
1.14,0.342638879950706,2,2.135,0.89,2.46
0.36,0.34272086128481,3,1.9875,0.28,1.3
0.62,0.342749891516666,2,1.343333333,1.05,1.46
0.68,0.347306228783613,1.5,1.24,1.2,1.68
0.37,0.347575231600083,2.4,1.588,1.02,1.41
2.43,0.34840888898595,1.333333333,1.48,1.65,4.77
5.27,0.348942196699139,1,2.4,3.16,9.33
1.67,0.349006761316988,2,1.765,1.63,3.41
0.93,0.349272027273962,2,1.473333333,0.87,2.22
0.69,0.350209371995041,2,1.775,1.55,2.17
0.68,0.350218870349276,3,1.9975,0.23,1.67
1.62,0.350512005580229,1.333333333,1.693333333,2.62,3.67
2.5,0.350832745894207,1.333333333,1.353333333,1.12,3.95
1.45,0.351984836161615,3,1.895,0.57,2.34
0.46,0.352003113854979,3,1.995,0.37,1.56
0.48,0.35201645358624,3,1.995,0.37,1.52
1.74,0.352018387118129,3,1.895,0.57,2.59
0.8,0.352279774651195,2.4,1.752,0.5,1.67
3.49,0.354049965143607,2,1.945,1.27,5.65
3.48,0.35416163087567,2,1.945,1.27,5.55
1.39,0.354439844896215,2,2.1,0.9,2.99
1.34,0.354503952508433,2,2.1,0.9,2.97
2.29,0.354653806803206,2,1.79,1.58,4.48
0.85,0.355296437383504,3,1.9775,0.28,1.74
1.95,0.35626975068097,2,1.835,0.53,3.17
2.18,0.356357678536297,2,1.835,0.53,3.4
5.77,0.356510106457922,1,2.4,3.16,9.68
2.36,0.359058504554994,1.6,1.734,0.93,4.27
5.27,0.359962509025455,1,2.045,2.23,8.75
2.58,0.360500589225853,2,2.195,2.49,4.48
0.8,0.361858928601702,2.4,1.646,1.19,2.12
2.42,0.362048652735857,1.714285714,2.084285714,1.63,4.67
0.32,0.362685814391152,2,1.586666667,0.53,1.36
1.65,0.36533750661148,3,2,0.38,2.48
1.36,0.3653922931986,3,2,0.38,2.38
1.59,0.36550238890338,3,1.9,0.58,2.67
1.94,0.365536877254682,3,1.9,0.58,3
1.27,0.366206292715141,2,1.79,1.58,3.06
6.08,0.366969302920793,1,2.07,2.18,9.42
1.8,0.367032468331955,2,1.93,1.24,3.41
6.05,0.367069745157535,1,2.07,2.18,9.23
2.25,0.367714062772337,1.6,1.966,2.13,4.48
4.19,0.367909939587916,1,2.045,2.23,7.45
0.66,0.367981445080309,1.5,1.235,1.07,1.74
2.69,0.368485522825796,2,2.195,2.49,4.47
0.96,0.369166044400212,1.5,1.2475,1.07,1.77
0.24,0.369632563215923,2,2.135,0.89,1.37
6.08,0.37261541552162,1,2.4,3.16,10.39
2.29,0.372936468018289,2,2.115,0.93,4.04
2.22,0.373065557592109,2,2.115,0.93,3.96
0.87,0.373930339354822,2,1.59,0.54,2.09
6.53,0.376530695036973,1,2.4,3.16,10.51
2.5,0.379239872765979,2.285714286,2.17,0.93,3.99
2.98,0.380622040076551,1.333333333,1.503333333,1.57,4.84
0.72,0.382173358618469,3,2.045,0.01,1.28
0.81,0.382501868500199,3,2.045,0.01,1.38
2.29,0.382526010094895,1.333333333,1.746666667,2.46,4.36
3.05,0.382851525100527,1.333333333,1.496666667,1.6,5.2
0.5,0.382945158996056,2,1.603333333,0.53,1.71
2.5,0.383026371648197,1.6,1.966,2.13,4.76
3.17,0.384469613632107,3,2.395,0.49,5.4
3.38,0.385505588192207,2,2.22,2.44,5.59
2.8,0.386235013581269,2,1.945,1.27,4.8
3.31,0.38796896306961,1.2,2.89,2.29,7.22
3.24,0.389323591313729,2,2.06,0.98,4.95
2.61,0.389405136705243,2,2.06,0.98,4.19
3.26,0.389587942733939,2,2.195,2.49,5.57
4.56,0.390011011935379,1,2.07,2.18,7.34
6.74,0.390294559035339,1.333333333,2.97,3.03,11.2
3.35,0.391249329879116,2,2.3275,1.83,6.17
6.55,0.392312621364826,1,2.4,3.16,10.89
3.8,0.393463819759012,1.5,3.44125,2.02,8.42
6.53,0.394458567122696,1,2.07,2.18,9.69
3.24,0.39560779762788,2,2.22,2.44,5.21
5.87,0.398992310957806,1.333333333,3.058888889,1.97,11.21
3.4,0.40071038539896,1.333333333,1.513333333,1.6,5.48
5.74,0.401021715090585,1,2.455,3.05,10.96
2.7,0.401720075214259,2.285714286,2.517142857,1.48,5.25
5.04,0.404095888704548,1.333333333,3.086666667,2.33,9.69
3.75,0.404136685762099,2,2.3275,1.83,6.67
3.44,0.404407833331546,1.2,2.912,2.29,7.51
4.12,0.405177745107445,2,2.435,1.4,7.14
2.74,0.407887203641703,2,2.195,2.49,5.04
1.38,0.410441542025112,2,1.673333333,2.04,2.37
5.77,0.412110292737025,1,2.455,3.05,10.73
3.64,0.412947014704194,2,2.075,1.01,5.92
3.1,0.413125637695502,2,2.075,1.01,4.92
1.98,0.413433339437175,1.333333333,1.766666667,2.51,4.87
7.11,0.415048363238645,1.333333333,2.986666667,2.98,11.3
0.19,0.418472421433423,3.428571429,2.577142857,1.08,1.43
1.17,0.418576304174064,3,2.11,0.14,2.2
1.11,0.418767994644997,3,2.11,0.14,1.93
3.63,0.418843793979707,2,2.22,2.44,6.61
7.15,0.418905219110266,1.428571429,3.215714286,2.37,11.95
2.65,0.419421276428802,3,2.2725,1.03,4.25
4.44,0.420135476384947,2.4,2.764,0.89,8.18
8.25,0.420140529984987,1.333333333,3.156666667,1.94,13.61
1.98,0.420685647262088,2.4,1.94,1.73,3.59
5.1,0.421113717376504,1.333333333,3.095,2.33,9.77
