composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData avg_dev Column,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,is_metal
Ag(AuS)2,16.0,79.0,63.0,47.4,25.28,16.0,65.0,88.0,74.6,10.719999999999999,66.0,388.36,1337.33,948.9699999999999,937.2620000000001,439.12159999999994,388.36,2.4,105.0,145.0,40.0,125.4,16.32,105.0,2.58,0.6500000000000001,2.434,2.54,2.0,1.4,1.0,6.0,25.0,19.0,14.6,8.319999999999999,6.0,2.0,1.4,16.33,25.786875,20.260749999999998,4.4209,16.7,70.0,225.0,True
Ag(W3Br7)2,35.0,74.0,39.0,46.714285714285715,15.619047619047619,35.0,51.0,95.0,81.0,18.666666666666668,95.0,265.8,3695.0,3429.2,1291.7204761904763,1373.3025850340136,265.8,4.571428571428571,120.0,162.0,42.0,133.1904761904762,17.587301587301592,120.0,2.96,1.03,2.7395238095238095,2.96,2.0,1.9523809523809523,2.0,11.0,20.0,9.0,17.571428571428573,1.387755102040817,17.0,6.0,2.4285714285714284,16.05,29.48,25.01666666666667,5.951111111111111,29.48,64.0,229.0,True
Ag0.5Ge1Pb1.75S4,16.0,82.0,66.0,36.275862068965516,23.552913198573126,16.0,65.0,88.0,83.48275862068965,4.984542211652795,88.0,388.36,1234.93,846.57,611.4996551724139,251.48014268727712,388.36,1.2175980975029725,105.0,146.0,41.0,119.72413793103448,16.24732461355529,105.0,2.58,0.6500000000000001,2.3962068965517243,2.58,2.0,1.9310344827586208,2.0,6.0,28.0,22.0,12.758620689655173,7.700356718192628,6.0,4.0,2.689655172413793,16.33,28.11,25.311724137931034,1.875196195005945,25.786875,70.0,225.0,False
Ag0.5Ge1Pb1.75Se4,32.0,82.0,50.0,46.206896551724135,17.388822829964326,34.0,65.0,89.0,84.03448275862068,5.479191438763378,89.0,494.0,1234.93,740.9300000000001,669.7837931034484,227.362568370987,494.0,1.2175980975029725,120.0,146.0,26.0,128.0,11.03448275862069,120.0,2.55,0.6199999999999999,2.3796551724137927,2.55,2.0,1.9310344827586208,2.0,11.0,28.0,17.0,18.275862068965516,4.694411414982163,16.0,4.0,2.689655172413793,16.33,28.11,25.385172413793107,1.9055885850178347,25.92,14.0,225.0,False
Ag2BBr,5.0,47.0,42.0,33.5,14.25,47.0,65.0,95.0,74.25,10.375,65.0,265.8,2348.0,2082.2,1270.9150000000002,538.5425,1234.93,2.0,84.0,145.0,61.0,123.5,21.5,145.0,2.96,1.03,2.215,1.93,2.0,1.5,1.0,3.0,17.0,14.0,10.5,3.75,11.0,5.0,2.0,7.1725,29.48,17.328125,6.075937500000001,16.33,64.0,225.0,True
Ag2BiO3,8.0,83.0,75.0,33.5,25.5,8.0,65.0,87.0,79.5,9.666666666666666,87.0,54.8,1234.93,1180.13,529.7766666666668,474.9766666666667,54.8,2.111111111111111,66.0,148.0,82.0,106.0,40.0,66.0,3.44,1.51,2.6999999999999997,3.44,2.0,1.6666666666666667,2.0,6.0,29.0,23.0,11.5,5.833333333333333,6.0,3.0,1.8333333333333333,9.105,32.95,15.487499999999999,6.3825,9.105,12.0,225.0,True
Ag2GeS3,16.0,47.0,31.0,29.0,13.0,16.0,65.0,88.0,78.83333333333333,9.222222222222223,88.0,388.36,1234.93,846.57,807.7233333333334,419.3633333333334,388.36,2.0,105.0,145.0,40.0,120.83333333333333,16.11111111111111,105.0,2.58,0.6500000000000001,2.268333333333333,2.58,2.0,1.6666666666666667,2.0,6.0,14.0,8.0,9.0,3.0,6.0,4.0,2.0,16.33,25.786875,22.170937499999997,3.893958333333334,25.786875,70.0,225.0,False
Ag2GeSe3,32.0,47.0,15.0,38.0,6.0,34.0,65.0,89.0,79.33333333333333,9.666666666666666,89.0,494.0,1234.93,740.9300000000001,860.5433333333334,366.54333333333335,494.0,2.0,120.0,145.0,25.0,128.33333333333334,11.111111111111114,120.0,2.55,0.6199999999999999,2.2533333333333334,2.55,2.0,1.6666666666666667,2.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,2.0,16.33,25.92,22.2375,3.9383333333333344,25.92,14.0,225.0,False
Ag2GeTe3,32.0,52.0,20.0,47.0,5.0,52.0,65.0,90.0,79.83333333333333,10.166666666666666,90.0,722.66,1234.93,512.2700000000001,974.8733333333333,252.21333333333337,722.66,2.0,120.0,145.0,25.0,137.33333333333334,5.7777777777777715,138.0,2.1,0.17000000000000015,2.0283333333333333,2.1,2.0,1.6666666666666667,2.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,2.0,16.33,34.7633333333,26.65916666665,8.10416666665,34.7633333333,152.0,225.0,False
Ag2HgI4,47.0,80.0,33.0,55.142857142857146,7.102040816326533,53.0,65.0,96.0,83.57142857142857,14.204081632653061,96.0,234.32,1234.93,1000.6100000000001,607.3685714285714,358.6065306122449,386.85,2.775510204081633,132.0,145.0,13.0,139.71428571428572,3.0204081632653095,139.0,2.66,0.7300000000000002,2.357142857142857,2.66,2.0,1.7142857142857142,2.0,11.0,26.0,15.0,16.571428571428573,3.1836734693877546,17.0,1.0,0.8571428571428571,16.33,43.015,32.85108374384286,11.615904292751022,43.015,64.0,225.0,False
