composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData avg_dev Column,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mode Electronegativity,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,is_metal
LiV3O4,3.0,23.0,20.0,13.0,7.5,8.0,1.0,87.0,60.875,26.125,87.0,54.8,2183.0,2128.2,902.7362499999999,960.1978125,54.8,6.0,66.0,153.0,87.0,106.375,40.375,66.0,3.44,2.46,2.45375,3.44,2.0,1.875,2.0,1.0,6.0,5.0,5.0,1.0,6.0,7.0,3.75,9.105,16.5933333333,11.5054166666625,2.4004166666624993,9.105,12.0,229.0,True
La2MoO5,8.0,57.0,49.0,24.5,20.625,8.0,13.0,87.0,63.875,28.90625,87.0,54.8,2896.0,2841.2,694.5,799.625,54.8,5.625,66.0,207.0,141.0,112.25,57.8125,66.0,3.44,2.34,2.695,3.44,2.0,1.875,2.0,3.0,6.0,3.0,5.25,1.125,6.0,9.0,4.25,9.105,36.8975,16.87625,10.010625,9.105,12.0,229.0,False
Ba5Al2Ge7,13.0,56.0,43.0,37.857142857142854,12.959183673469386,32.0,9.0,79.0,53.142857142857146,31.53061224489796,79.0,933.47,1211.4,277.93000000000006,1096.1957142857143,115.20428571428576,1211.4,5.408163265306122,120.0,215.0,95.0,154.07142857142858,43.52040816326531,120.0,2.01,1.1199999999999997,1.5528571428571427,2.01,2.0,2.0,2.0,2.0,14.0,12.0,8.142857142857142,5.857142857142857,14.0,5.0,2.7142857142857144,16.48,63.59,36.5675,19.301785714285717,23.005,225.0,229.0,True
LiHoO3,3.0,67.0,64.0,18.8,19.28,8.0,1.0,87.0,59.0,33.6,87.0,54.8,1747.0,1692.2,473.01800000000003,509.5928,54.8,6.719999999999999,66.0,192.0,126.0,103.6,45.12,66.0,3.44,2.46,2.5060000000000002,3.44,2.0,1.8,2.0,1.0,13.0,12.0,6.4,2.64,6.0,3.0,2.0,9.105,30.7333333333,14.928333333320001,6.987999999984,9.105,12.0,229.0,True
Ni3S4,16.0,28.0,12.0,21.142857142857142,5.877551020408163,16.0,61.0,88.0,76.42857142857143,13.224489795918368,88.0,388.36,1728.0,1339.6399999999999,962.4914285714286,656.1502040816328,388.36,2.9387755102040813,105.0,124.0,19.0,113.14285714285714,9.306122448979592,105.0,2.58,0.6700000000000002,2.292857142857143,2.58,2.0,2.0,2.0,6.0,10.0,4.0,7.714285714285714,1.959183673469388,6.0,2.0,2.0,10.32,25.786875,19.158214285714283,7.575612244897958,25.786875,70.0,225.0,True
V8O,8.0,23.0,15.0,21.333333333333332,2.9629629629629637,23.0,46.0,87.0,50.55555555555556,8.098765432098766,46.0,54.8,2183.0,2128.2,1946.5333333333333,420.38518518518526,2183.0,2.17283950617284,66.0,153.0,87.0,143.33333333333334,17.185185185185176,153.0,3.44,1.81,1.8311111111111111,1.63,2.0,2.0,2.0,5.0,6.0,1.0,5.111111111111111,0.19753086419753055,5.0,7.0,6.444444444444445,9.105,13.01,12.57611111111111,0.7713580246913582,13.01,12.0,229.0,True
GeP,15.0,32.0,17.0,23.5,8.5,15.0,79.0,83.0,81.0,2.0,79.0,317.3,1211.4,894.1000000000001,764.35,447.05000000000007,317.3,0.5,107.0,120.0,13.0,113.5,6.5,107.0,2.19,0.18000000000000016,2.0999999999999996,2.01,2.0,2.0,2.0,5.0,14.0,9.0,9.5,4.5,5.0,4.0,3.5,22.5702380952,23.005,22.7876190476,0.21738095239999922,22.5702380952,2.0,225.0,False
Yb(SbS2)2,16.0,70.0,54.0,33.714285714285715,20.244897959183675,16.0,39.0,88.0,80.14285714285714,11.755102040816329,88.0,388.36,1092.0,703.64,636.1428571428571,283.18040816326527,388.36,3.10204081632653,105.0,187.0,82.0,126.42857142857143,24.48979591836735,105.0,2.58,1.32,2.2399999999999998,2.58,2.0,2.0,2.0,6.0,16.0,10.0,10.0,4.571428571428571,6.0,3.0,2.0,25.786875,34.12,28.626785714285713,3.245612244897959,25.786875,70.0,225.0,False
Eu7(Ga3Sb4)2,31.0,63.0,32.0,49.285714285714285,10.448979591836736,51.0,25.0,85.0,61.857142857142854,24.571428571428573,85.0,302.91,1095.0,792.0899999999999,795.842857142857,281.675918367347,903.78,4.9523809523809526,122.0,198.0,76.0,153.8095238095238,29.46031746031745,139.0,2.05,0.8649999999999998,1.693095238095238,2.05,2.0,2.0,2.0,9.0,15.0,6.0,12.428571428571429,2.2857142857142856,15.0,7.0,4.904761904761905,18.8575,36.46,29.56404761904762,6.118027210884352,31.56,64.0,229.0,False
TmScHg2,21.0,80.0,59.0,62.5,20.75,80.0,11.0,71.0,47.5,23.5,71.0,234.32,1818.0,1583.68,1025.16,790.84,234.32,4.5,132.0,190.0,58.0,156.0,24.0,132.0,2.0,0.75,1.6525,2.0,2.0,2.0,2.0,3.0,26.0,23.0,17.5,8.5,26.0,9.0,2.5,22.235,29.78,25.62254310345,2.0787284482749993,25.2375862069,166.0,194.0,True
